DG01, Nguyen, An, Nam, 11-01-2003, 0912312312
DG02, Tran, Thi Hoa, Nu, 12-02-2004, 0987654321
DG03, Le, Van Minh, Nam, 23-03-2002, 0903456789
DG04, Pham, Thi Thao, Nu, 14-04-2003, 0945678901
DG05, Do, Van Nam, Nam, 25-05-2004, 0911222333
DG06, Bui, Thi Lan, Nu, 06-06-2002, 0988112233
DG07, Hoang, Van Dung, Nam, 07-07-2003, 0909123456
DG08, Nguyen, Thi Hong, Nu, 18-08-2004, 0933445566
DG09, Tran, Van Phuc, Nam, 29-09-2003, 0977888999
DG10, Le, Thi Huong, Nu, 10-10-2002, 0955112233
DG11, Pham, Van Tien, Nam, 11-11-2003, 0966778899
DG12, Do, Thi Nga, Nu, 12-12-2004, 0988997766
DG13, Nguyen, Van Khoa, Nam, 13-01-2003, 0903344556
DG14, Tran, Thi My, Nu, 14-02-2002, 0933221100
DG15, Le, Van Hieu, Nam, 15-03-2003, 0977665544
DG16, Bui, Thi Yen, Nu, 16-04-2004, 0911223344
DG17, Hoang, Van Long, Nam, 17-05-2002, 0944112233
DG18, Nguyen, Thi Thu, Nu, 18-06-2003, 0955332211
DG19, Tran, Van Kien, Nam, 19-07-2003, 0904433221
DG20, Le, Thi Hanh, Nu, 20-08-2004, 0922334455
DG21, Pham, Van Truong, Nam, 21-09-2003, 0988776655
DG22, Do, Thi Ly, Nu, 22-10-2002, 0977332211
DG23, Nguyen, Van Hoang, Nam, 23-11-2003, 0933556677
DG24, Tran, Thi Dao, Nu, 24-12-2004, 0966442211
DG25, Le, Van Thang, Nam, 25-01-2002, 0908665544
DG26, Pham, Thi Linh, Nu, 26-02-2003, 0944556677
DG27, Do, Van Tuan, Nam, 27-03-2004, 0911888777
DG28, Bui, Thi Thanh, Nu, 28-04-2002, 0977335544
DG29, Hoang, Van Phu, Nam, 29-05-2003, 0905667788
DG30, Nguyen, Thi Nhi, Nu, 30-06-2004, 0922446688
DG31, Tran, Van Dat, Nam, 01-07-2003, 0933667799
DG32, Le, Thi Ngoc, Nu, 02-08-2002, 0955778899
DG33, Pham, Van Hung, Nam, 03-09-2004, 0988996655
DG34, Do, Thi Hong, Nu, 04-10-2003, 0911445566
DG35, Nguyen, Van Tinh, Nam, 05-11-2002, 0977112233
DG36, Tran, Thi Han, Nu, 06-12-2004, 0922334455
DG37, Le, Van Quang, Nam, 07-01-2003, 0944667788
DG38, Bui, Thi Ha, Nu, 08-02-2004, 0933112233
DG39, Hoang, Van Bao, Nam, 09-03-2003, 0966778899
DG40, Nguyen, Thi Hoa, Nu, 10-04-2002, 0911442233
DG41, Tran, Van Son, Nam, 11-05-2004, 0903221100
DG42, Le, Thi Mai, Nu, 12-06-2003, 0944998877
DG43, Pham, Van Nam, Nam, 13-07-2002, 0988332211
DG44, Do, Thi Huyen, Nu, 14-08-2003, 0922336677
DG45, Nguyen, Van Loc, Nam, 15-09-2004, 0933221155
DG46, Tran, Thi Ngan, Nu, 16-10-2002, 0955667788
DG47, Le, Van Phuoc, Nam, 17-11-2003, 0908776655
DG48, Pham, Thi Lan, Nu, 18-12-2004, 0988112299
DG49, Do, Van Toan, Nam, 03-07-2005, 0945678324
DG50, Bui, Thi Dung, Nu, 20-08-2004, 0977665522
