NV01, Nguyen, Minh, Nam, 11-01-2003, 02131314
NV02, Bui, Nguyen Quoc Huy, Nam, 02-09-2006, 09512651231
NV03, Tran, Tuan Kiet, Nam, 31-10-2005, 0941425613
NV04, Le, Thi Mai, Nu, 05-02-2002, 0988776655
NV05, Pham, Van Thanh, Nam, 10-03-2001, 0977332211
NV06, Do, Thi Huong, Nu, 15-04-2003, 0909112233
NV07, Hoang, Van Dat, Nam, 20-05-2002, 0966554433
NV08, Nguyen, Thi Ngan, Nu, 25-06-2004, 0933445566
NV09, Tran, Van Huy, Nam, 30-07-2003, 0955778899
NV10, Le, Thi Kim, Nu, 05-08-2002, 0988111222
NV11, Pham, Van Duc, Nam, 10-09-2003, 0912334455
NV12, Do, Thi Lan, Nu, 15-10-2004, 0944667788
NV13, Hoang, Van Quang, Nam, 20-11-2002, 0977665544
NV14, Nguyen, Thi Hoa, Nu, 25-12-2003, 0933221100
NV15, Tran, Van Phuc, Nam, 01-01-2002, 0905667788
NV16, Le, Thi Thanh, Nu, 06-02-2004, 0955332211
NV17, Pham, Van Khoa, Nam, 11-03-2003, 0944221100
NV18, Do, Thi Hien, Nu, 16-04-2004, 0988996655
NV19, Hoang, Van Loc, Nam, 21-05-2002, 0922334455
NV20, Nguyen, Thi Thao, Nu, 26-06-2003, 0911888777
NV21, Tran, Van Bao, Nam, 01-07-2002, 0933556677
NV22, Le, Thi Hong, Nu, 06-08-2003, 0966442211
NV23, Pham, Van Hung, Nam, 11-09-2004, 0988112233
NV24, Do, Thi Han, Nu, 16-10-2002, 0944556677
NV25, Hoang, Van Nam, Nam, 21-11-2003, 0955112233
NV26, Nguyen, Thi My, Nu, 26-12-2004, 0903445566
NV27, Tran, Van Truong, Nam, 31-01-2002, 0977335544
NV28, Le, Thi Ly, Nu, 05-02-2003, 0911776655
NV29, Pham, Van Tuan, Nam, 10-03-2004, 0922336677
NV30, Do, Thi Nhi, Nu, 15-04-2002, 0988997766
NV31, Hoang, Van Hieu, Nam, 20-05-2003, 0911667788
NV32, Nguyen, Thi Yen, Nu, 25-06-2004, 0944998877
NV33, Tran, Van Long, Nam, 30-07-2002, 0955667788
NV34, Le, Thi Dao, Nu, 04-08-2003, 0908776655
NV35, Pham, Van Kien, Nam, 09-09-2004, 0988112299
NV36, Do, Thi Linh, Nu, 14-10-2002, 0911445566
NV37, Hoang, Van Phuoc, Nam, 19-11-2003, 0977665522
NV38, Nguyen, Thi Ha, Nu, 24-12-2004, 0933667799
NV39, Tran, Van Quoc, Nam, 29-01-2002, 0966778899
NV40, Le, Thi Ngoc, Nu, 03-02-2003, 0988776655
NV41, Pham, Van Hoang, Nam, 08-03-2004, 0909114455
NV42, Do, Thi Thu, Nu, 13-04-2002, 0911223344
NV43, Hoang, Van Dung, Nam, 18-05-2003, 0977112233
NV44, Nguyen, Thi Lan, Nu, 23-06-2004, 0944112233
NV45, Tran, Van Son, Nam, 28-07-2002, 0933112233
NV46, Le, Thi Mai Anh, Nu, 02-08-2003, 0955778899
NV47, Pham, Van Khoa, Nam, 07-09-2004, 0988996655
NV48, Do, Thi Hong, Nu, 12-10-2002, 0911442233
NV49, Hoang, Van Toan, Nam, 17-11-2003, 0977665522
NV50, Nguyen, Thi Dung, Nu, 22-12-2004, 0988776611
